ID TIME DONE
# Manager.Done #1
43 1000.88 1.0
# Manager.Done #44
44 0.0 0.0
44 4.96503 0.0
44 4.96503 0.0
44 5.62682 1.0
44 5.62682 1.0
44 1000.66 1.0
# Manager.Done #45
45 0.0 0.0
45 20.9344 0.0
45 20.9344 0.0
45 21.3558 1.0
45 21.3558 1.0
45 1000.48 1.0
# Manager.Done #46
46 0.0 0.0
46 31.8533 0.0
46 31.8533 0.0
46 32.0305 1.0
46 32.0305 1.0
46 1000.16 1.0
# Manager.Done #47
47 0.0 0.0
47 11.3956 0.0
47 11.3956 0.0
47 11.3956 1.0
47 11.3956 1.0
47 1000.18 1.0
# Manager.Done #48
48 0.0 0.0
48 10.6815 0.0
48 10.6815 0.0
48 11.3247 1.0
48 11.3247 1.0
48 1000.79 1.0
# Manager.Done #49
49 0.0 0.0
49 3.64785 0.0
49 3.64785 0.0
49 4.20874 1.0
49 4.20874 1.0
49 1000.03 1.0
# Manager.Done #50
50 0.0 0.0
50 15.4591 0.0
50 15.4591 0.0
50 16.0117 1.0
50 16.0117 1.0
50 1000.54 1.0
# Manager.Done #51
51 0.0 0.0
51 25.8183 0.0
51 25.8183 0.0
51 25.8183 1.0
51 1000.23 1.0
# Manager.Done #52
52 0.0 0.0
52 17.0469 0.0
52 17.0469 0.0
52 17.7227 1.0
52 17.7227 1.0
52 1000.5 1.0
# Manager.Done #53
53 0.0 0.0
53 21.9641 0.0
53 21.9641 0.0
53 22.566 1.0
53 22.566 1.0
53 1000.53 1.0
# Manager.Done #54
54 0.0 0.0
54 32.8369 0.0
54 32.8369 0.0
54 33.3186 1.0
54 33.3186 1.0
54 1000.39 1.0
# Manager.Done #55
55 0.0 0.0
55 23.0645 0.0
55 23.0645 0.0
55 23.1047 1.0
55 23.1047 1.0
55 1000.21 1.0
# Manager.Done #56
56 0.0 0.0
56 40.2433 0.0
56 40.2433 0.0
56 40.8027 1.0
56 40.8027 1.0
56 1000.65 1.0
# Manager.Done #57
57 0.0 0.0
57 27.4919 0.0
57 27.4919 0.0
57 28.2516 1.0
57 28.2516 1.0
57 1000.15 1.0
# Manager.Done #58
58 0.0 0.0
58 6.36711 0.0
58 6.36711 0.0
58 6.50954 1.0
58 6.50954 1.0
58 1000.83 1.0
# Manager.Done #59
59 0.0 0.0
59 9.56852 0.0
59 9.56852 0.0
59 9.56852 1.0
59 9.56852 1.0
59 1000.15 1.0
# Manager.Done #60
60 0.0 0.0
60 26.7148 0.0
60 26.7148 0.0
60 27.1288 1.0
60 27.1288 1.0
60 1000.17 1.0
# Manager.Done #61
61 0.0 0.0
61 11.6271 0.0
61 11.6271 0.0
61 12.0713 1.0
61 12.0713 1.0
61 1000.03 1.0
# Manager.Done #62
62 0.0 0.0
62 2.46179 0.0
62 2.46179 0.0
62 2.92217 1.0
62 2.92217 1.0
62 1000.97 1.0
# Manager.Done #63
63 0.0 0.0
63 13.5458 0.0
63 13.5458 0.0
63 13.8319 1.0
63 13.8319 1.0
63 1000.23 1.0
# Manager.Done #64
64 0.0 0.0
64 9.29156 0.0
64 9.29156 0.0
64 9.98324 1.0
