ID TIME DONE
# Manager.Done #1
1 0.0 0.0
1 14.2376 0.0
1 14.2376 0.0
1 15.0174 1.0
1 15.0174 1.0
1 1000.13 1.0
# Manager.Done #2
2 0.0 0.0
2 22.2673 0.0
2 22.2673 0.0
2 22.7925 1.0
2 22.7925 1.0
2 1000.21 1.0
# Manager.Done #3
3 0.0 0.0
3 13.9915 0.0
3 13.9915 0.0
3 14.6055 1.0
3 14.6055 1.0
3 1000.24 1.0
# Manager.Done #4
4 0.0 0.0
4 39.2254 0.0
4 39.2254 0.0
4 39.9143 1.0
4 39.9143 1.0
4 1000.21 1.0
# Manager.Done #5
5 0.0 0.0
5 27.891 0.0
5 27.891 0.0
5 28.6389 1.0
5 28.6389 1.0
5 1000.29 1.0
# Manager.Done #6
6 0.0 0.0
6 21.9971 0.0
6 21.9971 0.0
6 22.745 1.0
6 22.745 1.0
6 1000.24 1.0
# Manager.Done #7
7 0.0 0.0
7 7.02911 0.0
7 7.02911 0.0
7 7.7102 1.0
7 7.7102 1.0
7 1000.11 1.0
# Manager.Done #8
8 0.0 0.0
8 20.8237 0.0
8 20.8237 0.0
8 21.3679 1.0
8 21.3679 1.0
8 1000.48 1.0
# Manager.Done #9
9 0.0 0.0
9 15.4778 0.0
9 15.4778 0.0
9 15.9137 1.0
9 15.9137 1.0
9 1000.04 1.0
# Manager.Done #10
10 0.0 0.0
10 28.9 0.0
10 28.9 0.0
10 29.5395 1.0
10 29.5395 1.0
10 1000.22 1.0
# Manager.Done #11
11 0.0 0.0
11 9.67823 0.0
11 9.67823 0.0
11 10.4233 1.0
11 10.4233 1.0
11 1000.35 1.0
# Manager.Done #12
12 0.0 0.0
12 24.6808 0.0
12 24.6808 0.0
12 25.1803 1.0
12 25.1803 1.0
12 1000.11 1.0
# Manager.Done #13
13 0.0 0.0
13 32.7852 0.0
13 32.7852 0.0
13 33.3206 1.0
13 33.3206 1.0
13 1000.05 1.0
# Manager.Done #14
14 0.0 0.0
14 48.9574 0.0
14 48.9574 0.0
14 49.6983 1.0
14 49.6983 1.0
14 1000.14 1.0
# Manager.Done #15
15 0.0 0.0
15 14.7204 0.0
15 14.7204 0.0
